Product,Pass-Through Rate,15 Day Price,30 Day Price,45 Day Price,60 Day Price
30-Year Fixed Rate RD - 502 Guaranteed Rural Housing,8.25,106.1701,106.1232,105.9223,105.7189
30-Year Fixed Rate RD - 502 Guaranteed Rural Housing,8.125,105.8445,105.7976,105.5968,105.3934
30-Year Fixed Rate RD - 502 Guaranteed Rural Housing,8,105.4851,105.4382,105.2373,105.0339
30-Year Fixed Rate RD - 502 Guaranteed Rural Housing,7.875,105.0958,105.0489,104.848,104.6446
30-Year Fixed Rate RD - 502 Guaranteed Rural Housing,7.75,105.9627,105.9158,105.6815,105.4578
30-Year Fixed Rate RD - 502 Guaranteed Rural Housing,7.625,105.5549,105.508,105.2736,105.05
30-Year Fixed Rate RD - 502 Guaranteed Rural Housing,7.5,105.1306,105.0838,104.8494,104.6257
30-Year Fixed Rate RD - 502 Guaranteed Rural Housing,7.375,104.6939,104.647,104.4126,104.189
30-Year Fixed Rate RD - 502 Guaranteed Rural Housing,7.25,104.2435,104.1966,103.9623,103.7386
30-Year Fixed Rate RD - 502 Guaranteed Rural Housing,7.125,103.7758,103.729,103.4946,103.2709
30-Year Fixed Rate RD - 502 Guaranteed Rural Housing,7,103.2906,103.2438,103.0094,102.7857
30-Year Fixed Rate RD - 502 Guaranteed Rural Housing,6.875,102.401,102.3542,102.2035,102.0495
30-Year Fixed Rate RD - 502 Guaranteed Rural Housing,6.75,101.9158,101.869,101.7183,101.5643
30-Year Fixed Rate RD - 502 Guaranteed Rural Housing,6.625,101.4061,101.3592,101.2086,101.0545
30-Year Fixed Rate RD - 502 Guaranteed Rural Housing,6.5,100.875,100.8281,100.6774,100.5234
30-Year Fixed Rate RD - 502 Guaranteed Rural Housing,6.375,99.9219,99.875,99.7495,99.6192
30-Year Fixed Rate RD - 502 Guaranteed Rural Housing,6.25,99.3908,99.3439,99.2183,99.088
30-Year Fixed Rate RD - 502 Guaranteed Rural Housing,6.125,98.8254,98.7785,98.6529,98.5226
30-Year Fixed Rate RD - 502 Guaranteed Rural Housing,6,98.2286,98.1817,98.0561,97.9258
30-Year Fixed Rate RD - 502 Guaranteed Rural Housing,5.875,97.2965,97.2574,97.1486,97.0357
30-Year Fixed Rate RD - 502 Guaranteed Rural Housing,5.75,96.6986,96.6595,96.5507,96.4378
30-Year Fixed Rate RD - 502 Guaranteed Rural Housing,5.625,96.0774,96.0384,95.9295,95.8167
30-Year Fixed Rate RD - 502 Guaranteed Rural Housing,5.5,95.4302,95.3911,95.2823,95.1694
30-Year Fixed Rate RD - 502 Guaranteed Rural Housing,5.375,93.9592,93.9357,93.8436,93.7472
30-Year Fixed Rate RD - 502 Guaranteed Rural Housing,5.25,93.3119,93.2885,93.1964,93.1
